,date,temperature_2m
151,2024-12-16 07:00:00+00:00,
152,2024-12-16 08:00:00+00:00,
153,2024-12-16 09:00:00+00:00,
154,2024-12-16 10:00:00+00:00,
155,2024-12-16 11:00:00+00:00,
156,2024-12-16 12:00:00+00:00,
157,2024-12-16 13:00:00+00:00,
158,2024-12-16 14:00:00+00:00,
159,2024-12-16 15:00:00+00:00,
160,2024-12-16 16:00:00+00:00,
161,2024-12-16 17:00:00+00:00,
162,2024-12-16 18:00:00+00:00,
163,2024-12-16 19:00:00+00:00,
164,2024-12-16 20:00:00+00:00,
165,2024-12-16 21:00:00+00:00,
166,2024-12-16 22:00:00+00:00,
167,2024-12-16 23:00:00+00:00,
